stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
700000014230,0,Park & Ride Glenshane Rd,,54.836019,-6.682173,,,,
701000001,13223,Water Street,,54.9960686943561,-7.31732885231964,,,,
701000002,12537,Derry Patrick Street,,54.99998,-7.32234,,,,
701000006,13224,Drumahoe Park and Ride,,54.97452,-7.25841,,,,
701000007,13225,Derry Foyleside,,54.9941010639017,-7.31733099979148,,,,
7010B158131,158131,Ulsterbus Depot,,54.9966287583853,-7.31786633503893,,,,
7010B158241,158241,Magee Campus,,55.002956,-7.322545,,,,
702000001,13226,Belfast International Airport,,54.6624429322079,-6.21787736086132,,,,
702000015422,0,Europa Bus Centre,,54.5950542821242,-5.93626793243424,,,,
70200B156091,156091,Glengall Street,,54.5950880606977,-5.93719485012835,,,,
7020IR0037,0,Lisburn,,54.513863,-6.045132,,,,
7020IR2162,0,Belfast,,54.594684,-5.939831,,,,
7040B107131,107131,Cullaville,,54.0620448123748,-6.64352516920916,,,,
7040B139481,139481,Newry,,54.1682530256848,-6.33909756269821,,,,
7040B139491,139491,Buttercrane Shopping Centre,,54.172871,-6.340996,,,,
7040B139501,139501,Newry,,54.172227,-6.340441,,,,
7040B139511,139511,Newry (Opp Quay Shopping Centre),,54.16869222,-6.339018889,,,,
7040B139761,139761,Killeen Bridge,,54.131009,-6.346082,,,,
7040B139771,139771,Killeen Bridge,,54.131023,-6.346479,,,,
7040B139781,139781,Meigh Cross,,54.115863,-6.357129,,,,
7040B139791,139791,Meigh Cross (Service Station),,54.11589222,-6.357278611,,,,
7040B150611,150611,Monaghan Street,,54.176486,-6.34535,,,,
7040B156051,156051,Newry,,54.176002,-6.339467,,,,
7040B156061,156061,Newry Bus Station,,54.1749986272411,-6.340145,,,,
7040IR0042,0,Newry,,54.188659,-6.362413,,,,
7040IR0045,0,Portadown,,54.424993,-6.445312,,,,
7040IR0090,0,Lurgan,,54.467011,-6.338528,,,,
7050B108081,108081,Enniskillen,,54.3436944286399,-7.64007888696494,,,,
7050B140871,140871,Derrylin,,54.191672,-7.565929,,,,
7050B1409001,140901,Bellanaleck,,54.2950047241065,-7.63801510677572,,,,
7050B141541,141541,Belleek,,54.4761705959608,-8.09450198679982,,,,
7050B1415501,141551,Bellanaleck,,54.2950580826928,-7.63783030428049,,,,
7050B141561,141561,Derrylin,,54.191678,-7.565736,,,,
7050B630091,630091,Letterbreen,,54.3092870556637,-7.73268562828709,,,,
7050B630101,630101,Letterbreen,,54.3094925605682,-7.73216183422823,,,,
7050B6310001,631001,Belcoo,,54.297258,-7.869896,,,,
7050B631071,631071,Loughview Drive,,54.297373889864,-7.8701144779675,,,,
7060000002,13812,Strabane,,54.831483,-7.469682,,,,
706000002,14066,Straughroy,,54.613074,-7.325008,,,,
706000003,14065,Straughroy,,54.61303,-7.325148,,,,
7060B152481,152481,Sion Mills,,54.7843117247012,-7.4716367976002,,,,
7060B156031,156031,Ballygawley,,54.456349,-7.033901,,,,
7060B157111,157111,Newtownstewart,,54.7218905194398,-7.37298186024223,,,,
7060B158031,158031,Ulsterbus Depot,,54.601343,-7.30175,,,,
7060B1581001,158101,Newtownstewart,,54.7217738838126,-7.37301470512109,,,,
7060B158121,158121,Bradley Way,,54.8265068781516,-7.47009002495236,,,,
7060B1581401,158141,Sion Mills,,54.785779358327,-7.47234836164944,,,,
7060B158181,158181,Canal Street,,54.8277460618064,-7.46378639704708,,,,
821000003,11344,Tullow South,,52.8009859648035,-6.73963266966709,,,,
821000004,11345,Tullow South,,52.8008918566571,-6.73923497055727,,,,
821000005,12324,Carlow Institute,,52.81898,-6.94506,,,,
821000006,12325,Carlow Institute,,52.819215,-6.945214,,,,
821000007,13227,Leighlinbridge,,52.736693,-6.975816,,,,
821000008,13228,Leighlinbridge,,52.736703,-6.975994,,,,
821000017,14131,SETU Green Road,,52.826438,-6.93572,,,,
821000018,13229,Saint Patrick's Park,,52.804379,-6.744251,,,,
821000019,11722,Carlow Station,,52.8406757429783,-6.92287337587765,,,,
8210000199,13608,Carlow College,,52.838603,-6.927199,,,,
821000020,11741,Carlow Station,,52.8409119397224,-6.92314956224423,,,,
821000022,13230,Bennekerry,,52.821734,-6.877851,,,,
8210B111621,111621,Saint Patrick's Avenue,,52.837124,-6.91467,,,,
8210B111891,111891,Sleaty Street,,52.84414778,-6.9397625,,,,
8210B1340201,134021,Hacketstown,,52.865375,-6.558453,,,,
8210B1340202,134022,Hacketstown,,52.86533977541,-6.55851347138918,,,,
8210B136061,136061,SETU Carlow,,52.8299811805242,-6.93597455431291,,,,
8210B1360701,136071,Ballyknockan,,52.735531,-6.987098,,,,
8210B136211,136211,Rathvilly,,52.8805507014169,-6.69556191940628,,,,
8210B136231,136231,Hacketstown,,52.865221,-6.558399,,,,
8210B153991,153991,Tullow North,,52.8048199890738,-6.73250639090103,,,,
8210B154001,154001,Tullow North,,52.8046580908354,-6.73249626766088,,,,
8210B202101,202101,Wexford Road Business Park,,52.820615,-6.897133,,,,
8210B335561,335561,Barrack Street,,52.8353868712984,-6.92542345782427,,,,
8210B3355701,335571,Carlow Bus Station,,52.833738,-6.926948,,,,
8210B3355702,335572,Carlow Bus Station,,52.833729,-6.926963,,,,
8210B339081,339081,Ballyknockan,,52.738872,-6.985687,,,,
8210B3394301,339431,Royaloak,,52.704245,-6.984179,,,,
8210B3511401,351141,Rathvilly,,52.8806191573759,-6.69524785426883,,,,
8210B3511402,351142,Rathvilly,,52.880638,-6.695327,,,,
8210B3511801,351181,Kildavin,,52.683916,-6.685386,,,,
8210B351711,351711,Ballon,,52.7401879532436,-6.77039976288263,,,,
8210B351721,351721,Ballon,,52.7400872675218,-6.77022488071272,,,,
8210B3555602,355562,Tullow Centre,,52.802935,-6.736165,,,,
8210B3555603,355563,Tullow Centre,,52.802936,-6.73618,,,,
8210B3555604,355564,Tullow Centre,,52.803123,-6.736071,,,,
8210B5981201,598121,SETU Carlow,,52.8300543996409,-6.93612116551754,,,,
8210CO11091,201001,Carlow Institute,,52.819187,-6.94511,,,,
8210CO11092,11092,Carraig Abhainn,,52.825857,-6.937188,,,,
8210CO11093,110931,Bourlum Wood,,52.8234089692559,-6.93576417315221,,,,
8210CO11094,110941,SETU Green Road,,52.825497,-6.934096,,,,
